title,rating,watchedDate,notes,tags,rewatched
FROM,7,,,,false
Spider-Noir,8,,,,false
One-Punch Man,N/A,,,,false
Daredevil: Born Again,6,,,,false
INVINCIBLE,8,,,,false
Marvel Zombies,7,,,,false
A Knight of the Seven Kingdoms,7,,,,false
Pluribus,8,,,,false
The Last of Us,7,,,,false
Kota Factory,8,,,,false
Pantheon,6,,,,false
Farzi,7,,,,false
Murderbot,6,,,,false
Presumed Innocent,9,,,,false
The Mentalist,6,,,,false
Cowboy Bebop,N/A,,,,false
Severance,7,,,,false
Secret Level,N/A,,,,false
Pill,N/A,,,,false
Normal People,N/A,,,,false
Shōgun,8,,,,false
House,N/A,,,,false
"Love, Death & Robots",7,,,,false
The Sandman,6,,,,false
Mr. Robot,7,,,,false
The Railway Men - The Untold Story of Bhopal 1984,N/A,,,,false
Paatal Lok,8,,,,false
Rick and Morty,6,,,,false
The Hunt for Veerappan,N/A,,,,false
The Witcher,8,,,,false
Panchayat,9,,,,false
Rise of Empires: Ottoman,N/A,,,,false
The Sopranos,N/A,,,,false
Curb Your Enthusiasm,7,,,,false
Wednesday,6,,,,false
Hellbound,N/A,,,,false
TVF Tripling,6,,,,false
Indian Predator: The Diary of a Serial Killer,N/A,,,,false
House of the Dragon,7,,,,false
Naruto,N/A,,,,false
Demon Slayer: Kimetsu no Yaiba,N/A,,,,false
Only Murders in the Building,7,,,,false
The Terminal List,6,,,,false
Stranger Things,8,,,,false
Peaky Blinders,N/A,,,,false
Gullak,8,,,,false
True Detective,8,,,,false
The Office,N/A,,,,false
Squid Game,7,,,,false
Narcos,N/A,,,,false
What If...?,8,,,,false
The Vampire Diaries,5,,,,false
Sacred Games,6,,,,false
The Walking Dead,5,,,,false
Hannibal,6,,,,false
Brooklyn Nine-Nine,7,,,,false
Modern Family,7,,,,false
Marvel's Agents of S.H.I.E.L.D.,6,,,,false
Arrow,7,,,,false
The Flash,6,,,,false
The Boys,5,,,,false
The Outsider,6,,,,false
Peacemaker,6,,,,false
Parasyte -the maxim-,6,,,,false
The Penguin,8,,,,false
Marvel's The Punisher,7,,,,false
Arcane,8,,,,false
Agatha All Along,7,,,,false
Fullmetal Alchemist: Brotherhood,9,,,,false
DAHMER - Monster: The Jeffrey Dahmer Story,7,,,,false
Black Bird,8,,,,false
Loki,7,,,,false
Attack on Titan,8,,,,false
Secret Invasion,2,,,,false
The Detectives,8,,,,false
1899,N/A,,,,false
Better Call Saul,8,,,,false
Friends,10,,,,false
Game of Thrones,6,,,,false
The Playlist,8,,,,false
She-Hulk: Attorney at Law,1,,,,false
Ms. Marvel,6,,,,false
Man vs Bee,7,,,,false
Moon Knight,8,,,,false
The Silent Sea,7,,,,false
Hawkeye,6,,,,false
Turning Point: 9/11 and the War on Terror,9,,,,false
The Falcon and the Winter Soldier,8,,,,false
Money Heist,7,,,,false
Dexter,N/A,,,,false
Silicon Valley,7,,,,false
WandaVision,7,,,,false
Scam 1992: The Harshad Mehta Story,10,,,,false
Dark,8,,,,false
Sherlock,N/A,,,,false
Prison Break,8,,,,false
Marvel's Daredevil,9,,,,false
Death Note,9,,,,false
How I Met Your Mother,N/A,,,,false
Breaking Bad,N/A,,,,false
Chernobyl,8,,,,false
