title,rating,watchedDate,notes,tags,rewatched
Avengers: Doomsday,N/A,,,,false
Heart of the Beast,N/A,,,,false
Ohh My Dog,N/A,,,,false
DC,N/A,,,,false
Spider-Man: Brand New Day,N/A,,,,false
The Runner,N/A,,,,false
Balan - The Boy,N/A,,,,false
Cape Fear,N/A,,,,false
Behind Her Eyes,N/A,,,,false
Remarkably Bright Creatures,N/A,,,,false
Eternity,N/A,,,,false
Madhuvidhu,N/A,,,,false
The Odyssey,N/A,,,,false
Athiradi,N/A,,,,false
The Intern,N/A,,,,false
Eddie the Eagle,N/A,,,,false
The Secret Life of Walter Mitty,N/A,,,,false
All We Imagine as Light,N/A,,,,false
Mystic River,N/A,,,,false
Brothers,N/A,,,,false
About Time,N/A,,,,false
October Sky,N/A,,,,false
Secret Window,N/A,,,,false
Disclosure Day,N/A,,,,false
The Song of Sparrows,N/A,,,,false
Thalavan,N/A,,,,false
Babylon,N/A,,,,false
The Amateur,N/A,,,,false
The Teachers' Lounge,N/A,,,,false
Look Who's Back,N/A,,,,false
Cinema Paradiso,N/A,,,,false
Force Majeure,N/A,,,,false
The Hunt,N/A,,,,false
Lunana: A Yak in the Classroom,N/A,,,,false
The Birds,N/A,,,,false
Dial M for Murder,N/A,,,,false
Host,N/A,,,,false
The Wonderful Story of Henry Sugar,N/A,,,,false
Orphan,N/A,,,,false
Pani,N/A,,,,false
The Adventures of Cliff Booth,N/A,,,,false
Nayattu,N/A,,,,false
Kappela,N/A,,,,false
Love,N/A,,,,false
Triangle,N/A,,,,false
Shaun of the Dead,N/A,,,,false
No Other Choice,N/A,,,,false
Stand by Me,N/A,,,,false
Dead Poets Society,N/A,,,,false
Casino,N/A,,,,false
The Shadow's Edge,N/A,,,,false
Mulholland Drive,N/A,,,,false
Pan's Labyrinth,N/A,,,,false
A Separation,N/A,,,,false
"Crouching Tiger, Hidden Dragon",N/A,,,,false
Vada Chennai,N/A,,,,false
The 8th Night,N/A,,,,false
Gonjiam: Haunted Asylum,N/A,,,,false
Predator: Badlands,N/A,,,,false
One Battle After Another,N/A,,,,false
Don't F**k with Cats: Hunting an Internet Killer,N/A,,,,false
Maanaadu,N/A,,,,false
Identity,N/A,,,,false
The Invisible Guest,N/A,,,,false
The Others,N/A,,,,false
MINDHUNTER,N/A,,,,false
Locke,N/A,,,,false
Ace,N/A,,,,false
The Smashing Machine,N/A,,,,false
Nocturnal Animals,N/A,,,,false
The Game,N/A,,,,false
The Handmaiden,N/A,,,,false
Marianne,N/A,,,,false
Mithunam,N/A,,,,false
Detour,N/A,,,,false
Ted Lasso,N/A,,,,false
Rock On!!,N/A,,,,false
Casablanca,N/A,,,,false
American History X,N/A,,,,false
It's a Wonderful Life,N/A,,,,false
"The Good, the Bad and the Ugly",N/A,,,,false
Rebel Ridge,N/A,,,,false
The Crow,N/A,,,,false
Despicable Me 3,N/A,,,,false
Supacell,N/A,,,,false
Warriors of the Wind,N/A,,,,false
Howl's Moving Castle,N/A,,,,false
The Sympathizer,N/A,,,,false
The Wind Rises,N/A,,,,false
The Other Guys,N/A,,,,false
Léon: The Professional,N/A,,,,false
Beautiful Boy,N/A,,,,false
The Vanishing,N/A,,,,false
Everybody Wants Some!!,N/A,,,,false
Late Night with the Devil,N/A,,,,false
Challengers,N/A,,,,false
Paddington,N/A,,,,false
Monkey Man,N/A,,,,false
Ran,N/A,,,,false
Metropolis,N/A,,,,false
In the Mood for Love,N/A,,,,false
The Killing,N/A,,,,false
Porco Rosso,N/A,,,,false
Miller's Crossing,N/A,,,,false
Inside Llewyn Davis,N/A,,,,false
Raising Arizona,N/A,,,,false
Spirited Away,N/A,,,,false
Bulbbul,N/A,,,,false
Poor Things,N/A,,,,false
The Killer,N/A,,,,false
The Holdovers,N/A,,,,false
Gran Turismo,N/A,,,,false
Guy Ritchie's The Covenant,N/A,,,,false
The Century of the Self,N/A,,,,false
Amadeus,N/A,,,,false
Enemy,N/A,,,,false
A River Runs Through It,N/A,,,,false
Killers of the Flower Moon,N/A,,,,false
The Outlaws,N/A,,,,false
Harley Quinn,N/A,,,,false
Bottle Rocket,N/A,,,,false
Succession,N/A,,,,false
Moment of Contact,N/A,,,,false
Sisu,N/A,,,,false
Spotlight,N/A,,,,false
Air,N/A,,,,false
