notes,rating,rewatched,scrapedDate,tags,title,watchedDate
,7,false,2025-11-16,,The Last of Us,
,N/A,false,2025-11-16,,Pluribus,
,8,false,2025-11-16,,Kota Factory,
,6,false,2025-11-16,,Pantheon,
,7,false,2025-11-16,,Farzi,
,6,false,2025-11-16,,Murderbot,
,9,false,2025-11-16,,Presumed Innocent,
,6,false,2025-11-16,,The Mentalist,
,N/A,false,2025-11-16,,Cowboy Bebop,
,6,false,2025-11-16,,Daredevil: Born Again,
,7,false,2025-11-16,,INVINCIBLE,
,7,false,2025-11-16,,Severance,
,N/A,false,2025-11-16,,Secret Level,
,N/A,false,2025-11-16,,Pill,
,6,false,2025-11-16,,The Boys,
,N/A,false,2025-11-16,,Normal People,
,8,false,2025-11-16,,Shōgun,
,N/A,false,2025-11-16,,House,
,7,false,2025-11-16,,"Love, Death & Robots",
,6,false,2025-11-16,,The Sandman,
,7,false,2025-11-16,,Mr. Robot,
,N/A,false,2025-11-16,,The Railway Men - The Untold Story of Bhopal 1984,
,8,false,2025-11-16,,Paatal Lok,
,6,false,2025-11-16,,Rick and Morty,
,N/A,false,2025-11-16,,The Hunt for Veerappan,
,8,false,2025-11-16,,The Witcher,
,9,false,2025-11-16,,Panchayat,
,N/A,false,2025-11-16,,Rise of Empires: Ottoman,
,N/A,false,2025-11-16,,The Sopranos,
,7,false,2025-11-16,,Curb Your Enthusiasm,
,6,false,2025-11-16,,Wednesday,
,N/A,false,2025-11-16,,Hellbound,
,6,false,2025-11-16,,TVF Tripling,
,N/A,false,2025-11-16,,Indian Predator: The Diary of a Serial Killer,
,7,false,2025-11-16,,House of the Dragon,
,N/A,false,2025-11-16,,Naruto,
,N/A,false,2025-11-16,,Demon Slayer: Kimetsu no Yaiba,
,7,false,2025-11-16,,Only Murders in the Building,
,6,false,2025-11-16,,The Terminal List,
,8,false,2025-11-16,,Stranger Things,
,N/A,false,2025-11-16,,Peaky Blinders,
,8,false,2025-11-16,,Gullak,
,8,false,2025-11-16,,True Detective,
,N/A,false,2025-11-16,,The Office,
,7,false,2025-11-16,,Squid Game,
,N/A,false,2025-11-16,,Narcos,
,8,false,2025-11-16,,What If...?,
,5,false,2025-11-16,,The Vampire Diaries,
,6,false,2025-11-16,,Sacred Games,
,5,false,2025-11-16,,The Walking Dead,
,6,false,2025-11-16,,Hannibal,
,7,false,2025-11-16,,Brooklyn Nine-Nine,
,7,false,2025-11-16,,Modern Family,
,6,false,2025-11-16,,Marvel's Agents of S.H.I.E.L.D.,
,7,false,2025-11-16,,Arrow,
,6,false,2025-11-16,,The Flash,
,6,false,2025-11-16,,Peacemaker,
,7,false,2025-11-16,,Marvel Zombies,
,6,false,2025-11-16,,Parasyte -the maxim-,
,8,false,2025-11-16,,The Penguin,
,7,false,2025-11-16,,Marvel's The Punisher,
,8,false,2025-11-16,,Arcane,
,7,false,2025-11-16,,Agatha All Along,
,9,false,2025-11-16,,Fullmetal Alchemist: Brotherhood,
,7,false,2025-11-16,,DAHMER - Monster: The Jeffrey Dahmer Story,
,8,false,2025-11-16,,Black Bird,
,7,false,2025-11-16,,Loki,
,8,false,2025-11-16,,Attack on Titan,
,2,false,2025-11-16,,Secret Invasion,
,8,false,2025-11-16,,The Detectives,
,N/A,false,2025-11-16,,1899,
,8,false,2025-11-16,,Better Call Saul,
,10,false,2025-11-16,,Friends,
,6,false,2025-11-16,,Game of Thrones,
,8,false,2025-11-16,,The Playlist,
,1,false,2025-11-16,,She-Hulk: Attorney at Law,
,6,false,2025-11-16,,Ms. Marvel,
,7,false,2025-11-16,,Man Vs Bee,
,8,false,2025-11-16,,Moon Knight,
,7,false,2025-11-16,,The Silent Sea,
,6,false,2025-11-16,,Hawkeye,
,9,false,2025-11-16,,Turning Point: 9/11 and the War on Terror,
,8,false,2025-11-16,,The Falcon and the Winter Soldier,
,7,false,2025-11-16,,Money Heist,
,N/A,false,2025-11-16,,Dexter,
,7,false,2025-11-16,,Silicon Valley,
,7,false,2025-11-16,,WandaVision,
,10,false,2025-11-16,,Scam 1992: The Harshad Mehta Story,
,8,false,2025-11-16,,Dark,
,N/A,false,2025-11-16,,Sherlock,
,8,false,2025-11-16,,Prison Break,
,9,false,2025-11-16,,Marvel's Daredevil,
,9,false,2025-11-16,,Death Note,
,N/A,false,2025-11-16,,How I Met Your Mother,
,N/A,false,2025-11-16,,Breaking Bad,
,8,false,2025-11-16,,Chernobyl,
