notes,rating,rewatched,scrapedDate,tags,title,watchedDate
,N/A,false,2025-11-29,,Mulholland Drive,
,N/A,false,2025-11-29,,Pan's Labyrinth,
,N/A,false,2025-11-29,,A Separation,
,N/A,false,2025-11-29,,"Crouching Tiger, Hidden Dragon",
,N/A,false,2025-11-29,,Vada Chennai,
,N/A,false,2025-11-29,,The 8th Night,
,N/A,false,2025-11-29,,Gonjiam: Haunted Asylum,
,N/A,false,2025-11-29,,Exhuma,
,N/A,false,2025-11-29,,Predator: Badlands,
,N/A,false,2025-11-29,,Save the Green Planet!,
,N/A,false,2025-11-29,,One Battle After Another,
,N/A,false,2025-11-29,,Don't F**k with Cats: Hunting an Internet Killer,
,N/A,false,2025-11-29,,Maanaadu,
,N/A,false,2025-11-29,,Good Fortune,
,N/A,false,2025-11-29,,Project Hail Mary,
,N/A,false,2025-11-29,,Identity,
,N/A,false,2025-11-29,,The Invisible Guest,
,N/A,false,2025-11-29,,The Others,
,N/A,false,2025-11-29,,MINDHUNTER,
,N/A,false,2025-11-29,,Locke,
,N/A,false,2025-11-29,,Ace,
,N/A,false,2025-11-29,,The Smashing Machine,
,N/A,false,2025-11-29,,Nocturnal Animals,
,N/A,false,2025-11-29,,The Game,
,N/A,false,2025-11-29,,The Handmaiden,
,N/A,false,2025-11-29,,Marianne,
,N/A,false,2025-11-29,,Mithunam,
,N/A,false,2025-11-29,,Detour,
,N/A,false,2025-11-29,,Ted Lasso,
,N/A,false,2025-11-29,,Rock On!!,
,N/A,false,2025-11-29,,Casablanca,
,N/A,false,2025-11-29,,American History X,
,N/A,false,2025-11-29,,It's a Wonderful Life,
,N/A,false,2025-11-29,,"The Good, the Bad and the Ugly",
,N/A,false,2025-11-29,,Rebel Ridge,
,N/A,false,2025-11-29,,The Crow,
,N/A,false,2025-11-29,,Despicable Me 3,
,N/A,false,2025-11-29,,Supacell,
,N/A,false,2025-11-29,,Nausicaä of the Valley of the Wind,
,N/A,false,2025-11-29,,Howl's Moving Castle,
,N/A,false,2025-11-29,,The Sympathizer,
,N/A,false,2025-11-29,,The Wind Rises,
,N/A,false,2025-11-29,,The Other Guys,
,N/A,false,2025-11-29,,Léon: The Professional,
,N/A,false,2025-11-29,,Beautiful Boy,
,N/A,false,2025-11-29,,The Vanishing,
,N/A,false,2025-11-29,,Everybody Wants Some!!,
,N/A,false,2025-11-29,,Late Night with the Devil,
,N/A,false,2025-11-29,,Challengers,
,N/A,false,2025-11-29,,Paddington,
,N/A,false,2025-11-29,,Monkey Man,
,N/A,false,2025-11-29,,Ran,
,N/A,false,2025-11-29,,Metropolis,
,N/A,false,2025-11-29,,In the Mood for Love,
,N/A,false,2025-11-29,,The Killing,
,N/A,false,2025-11-29,,Porco Rosso,
,N/A,false,2025-11-29,,Miller's Crossing,
,N/A,false,2025-11-29,,Inside Llewyn Davis,
,N/A,false,2025-11-29,,Raising Arizona,
,N/A,false,2025-11-29,,Encanto,
,N/A,false,2025-11-29,,Spirited Away,
,N/A,false,2025-11-29,,Bulbbul,
,N/A,false,2025-11-29,,Poor Things,
,N/A,false,2025-11-29,,The Killer,
,N/A,false,2025-11-29,,The Holdovers,
,N/A,false,2025-11-29,,Gran Turismo,
,N/A,false,2025-11-29,,Guy Ritchie's The Covenant,
,N/A,false,2025-11-29,,The Century of the Self,
,N/A,false,2025-11-29,,Amadeus,
,N/A,false,2025-11-29,,Enemy,
,N/A,false,2025-11-29,,A River Runs Through It,
,N/A,false,2025-11-29,,Killers of the Flower Moon,
,N/A,false,2025-11-29,,The Outlaws,
,N/A,false,2025-11-29,,Harley Quinn,
,N/A,false,2025-11-29,,Don't Look Up,
,N/A,false,2025-11-29,,Bottle Rocket,
,N/A,false,2025-11-29,,Succession,
,N/A,false,2025-11-29,,Moment of Contact,
,N/A,false,2025-11-29,,Sisu,
,N/A,false,2025-11-29,,Spotlight,
,N/A,false,2025-11-29,,Air,
,N/A,false,2025-11-29,,Hridayam,
,N/A,false,2025-11-29,,North by Northwest,
,N/A,false,2025-11-29,,Batman: The Killing Joke,
,N/A,false,2025-11-29,,Batman: Bad Blood,
,N/A,false,2025-11-29,,Batman: Hush,
,N/A,false,2025-11-29,,21 Jump Street,
,N/A,false,2025-11-29,,The Death of Superman,
,N/A,false,2025-11-29,,Justice League: Throne of Atlantis,
,N/A,false,2025-11-29,,Batman: Under the Red Hood,
,N/A,false,2025-11-29,,Justice League Dark: Apokolips War,
,N/A,false,2025-11-29,,Justice League: War,
,N/A,false,2025-11-29,,The Leftovers,
,N/A,false,2025-11-29,,Helen,
,N/A,false,2025-11-29,,Chef,
,N/A,false,2025-11-29,,127 Hours,
,N/A,false,2025-11-29,,Children of Men,
,N/A,false,2025-11-29,,The Battle of Algiers,
,N/A,false,2025-11-29,,Magic Mike,
,N/A,false,2025-11-29,,Road to Perdition,
,N/A,false,2025-11-29,,O.J.: Made in America,
,N/A,false,2025-11-29,,65,
,N/A,false,2025-11-29,,Spider-Man: Beyond the Spider-Verse,
,N/A,false,2025-11-29,,The Fabelmans,
,N/A,false,2025-11-29,,Jaws,
,N/A,false,2025-11-29,,Rocketman,
,N/A,false,2025-11-29,,Where the Crawdads Sing,
,N/A,false,2025-11-29,,Fargo,
,N/A,false,2025-11-29,,BlacKkKlansman,
,N/A,false,2025-11-29,,Rain Man,
,N/A,false,2025-11-29,,The Menu,
,N/A,false,2025-11-29,,Grizzly Man,
,N/A,false,2025-11-29,,The Banshees of Inisherin,
,N/A,false,2025-11-29,,The Lord of the Rings: The Rings of Power,
,N/A,false,2025-11-29,,All Quiet on the Western Front,
,N/A,false,2025-11-29,,The Wire,
,N/A,false,2025-11-29,,"Crazy, Stupid, Love.",
,N/A,false,2025-11-29,,Apur Sansar,
,N/A,false,2025-11-29,,Jojo Rabbit,
,N/A,false,2025-11-29,,Taxi Driver,
,N/A,false,2025-11-29,,Snowpiercer,
,N/A,false,2025-11-29,,Silence,
,N/A,false,2025-11-29,,The Boy and the Beast,
,N/A,false,2025-11-29,,The Witch,
,N/A,false,2025-11-29,,Munich,
,N/A,false,2025-11-29,,When Marnie Was There,
,N/A,false,2025-11-29,,The Negotiator,
,N/A,false,2025-11-29,,Elvis,
,N/A,false,2025-11-29,,Brother's Keeper,
